std,preserve rate
0.0,1.0
0.04081632653061224,0.0
0.08163265306122448,0.0
0.12244897959183673,0.0
0.16326530612244897,0.0
0.2040816326530612,0.0
0.24489795918367346,0.0
0.2857142857142857,0.0
0.32653061224489793,0.0
0.36734693877551017,0.0
0.4081632653061224,0.0
0.44897959183673464,0.0
0.4897959183673469,0.0
0.5306122448979591,0.0
0.5714285714285714,0.0
0.6122448979591836,0.0
0.6530612244897959,0.0
0.6938775510204082,0.0
0.7346938775510203,0.0
0.7755102040816326,0.0
0.8163265306122448,0.0
0.8571428571428571,0.0
0.8979591836734693,0.0
0.9387755102040816,0.0
0.9795918367346939,0.0
1.0204081632653061,0.0
1.0612244897959182,0.0
1.1020408163265305,0.0
1.1428571428571428,0.0
1.183673469387755,0.0
1.2244897959183672,0.0
1.2653061224489794,0.0
1.3061224489795917,0.0
1.346938775510204,0.0
1.3877551020408163,0.0
1.4285714285714284,0.0
1.4693877551020407,0.0
1.510204081632653,0.0
1.5510204081632653,0.0
1.5918367346938773,0.0
1.6326530612244896,0.0
1.673469387755102,0.0
1.7142857142857142,0.0
1.7551020408163265,0.0
1.7959183673469385,0.0
1.8367346938775508,0.0
1.8775510204081631,0.0
1.9183673469387754,0.0
1.9591836734693877,0.0
2.0,0.0
